epoch,step,train_loss_step,train_acc_step,train_auc,train_f1,train_specificity,train_kappa,train_precision,train_acc_epoch,train_sensitivity,train_acc,train_loss_epoch,test_specificity,test_kappa,test_acc,test_precision,test_loss,test_f1,test_auc,test_sensitivity
13,919,0.37535354495048523,0.84375,,,,,,,,,,,,,,,,,
13,929,0.561890184879303,0.703125,,,,,,,,,,,,,,,,,
13,939,0.5215145349502563,0.671875,,,,,,,,,,,,,,,,,
13,949,0.4384244680404663,0.828125,,,,,,,,,,,,,,,,,
13,951,,,0.8447980094382161,0.7652748289690965,0.7861781076030326,0.5384972170686456,0.7786845895343255,0.7692486047744751,0.7523191094619666,0.7692486047744751,0.49122384190559387,,,,,,,,
14,959,0.5273275971412659,0.765625,,,,,,,,,,,,,,,,,
14,969,0.49968093633651733,0.796875,,,,,,,,,,,,,,,,,
14,979,0.43697816133499146,0.765625,,,,,,,,,,,,,,,,,
14,989,0.42497801780700684,0.78125,,,,,,,,,,,,,,,,,
14,999,0.49632424116134644,0.78125,,,,,,,,,,,,,,,,,
14,1009,0.5414051413536072,0.78125,,,,,,,,,,,,,,,,,
14,1019,0.3059133291244507,0.8333333134651184,,,,,,,,,,,,,,,,,
14,1019,,,0.8483237872649482,0.7717492984097287,0.7820037105715121,0.5473098330241187,0.7783018867924528,0.7736549377441406,0.7653061224489796,0.7736549377441406,0.48541536927223206,,,,,,,,
15,1029,0.5579981207847595,0.765625,,,,,,,,,,,,,,,,,
15,1039,0.4596322774887085,0.78125,,,,,,,,,,,,,,,,,
15,1049,0.6059553027153015,0.75,,,,,,,,,,,,,,,,,
15,1059,0.5463297963142395,0.6875,,,,,,,,,,,,,,,,,
15,1069,0.4227278530597687,0.796875,,,,,,,,,,,,,,,,,
15,1079,0.5123302340507507,0.734375,,,,,,,,,,,,,,,,,
15,1087,,,0.8524342904643727,0.7705607476635514,0.7796846011095563,0.5445269016697588,0.7763653483992468,0.7722634673118591,0.7648423005565863,0.7722634673118591,0.4786618649959564,,,,,,,,
16,1089,0.4620140790939331,0.8125,,,,,,,,,,,,,,,,,
16,1099,0.47009703516960144,0.796875,,,,,,,,,,,,,,,,,
16,1109,0.4249161183834076,0.8125,,,,,,,,,,,,,,,,,
16,1119,0.46665310859680176,0.78125,,,,,,,,,,,,,,,,,
16,1129,0.3874534070491791,0.875,,,,,,,,,,,,,,,,,
16,1139,0.38386067748069763,0.84375,,,,,,,,,,,,,,,,,
16,1149,0.4290677011013031,0.859375,,,,,,,,,,,,,,,,,
16,1155,,,0.8603224895962771,0.7807835820895522,0.7875695732802062,0.5640074211502784,0.7851782363977486,0.7820037007331848,0.7764378478664193,0.7820037007331848,0.46647539734840393,,,,,,,,
17,1159,0.6130198240280151,0.75,,,,,,,,,,,,,,,,,
17,1169,0.46863099932670593,0.78125,,,,,,,,,,,,,,,,,
17,1179,0.5121760368347168,0.71875,,,,,,,,,,,,,,,,,
17,1189,0.4135732650756836,0.84375,,,,,,,,,,,,,,,,,
17,1199,0.4456707537174225,0.765625,,,,,,,,,,,,,,,,,
17,1209,0.47229820489883423,0.796875,,,,,,,,,,,,,,,,,
17,1219,0.4707183837890625,0.734375,,,,,,,,,,,,,,,,,
17,1223,,,0.8655422069316848,0.7847512784751278,0.7875695732802062,0.5705009276437848,0.7865796831314072,0.7852504849433899,0.7829313543599258,0.7852504849433899,0.45850229263305664,,,,,,,,
18,1229,0.5431142449378967,0.71875,,,,,,,,,,,,,,,,,
18,1239,0.5658325552940369,0.6875,,,,,,,,,,,,,,,,,
18,1249,0.5100757479667664,0.765625,,,,,,,,,,,,,,,,,
18,1259,0.3421821594238281,0.890625,,,,,,,,,,,,,,,,,
18,1269,0.5198172330856323,0.734375,,,,,,,,,,,,,,,,,
18,1279,0.49555283784866333,0.703125,,,,,,,,,,,,,,,,,
18,1289,0.4406774640083313,0.828125,,,,,,,,,,,,,,,,,
18,1291,,,0.8674306246364292,0.7877947295423023,0.7838589981410767,0.5742115027829313,0.7852534562211981,0.7871057391166687,0.7903525046382189,0.7871057391166687,0.4552903175354004,,,,,,,,
19,1299,0.46420297026634216,0.796875,,,,,,,,,,,,,,,,,
19,1309,0.4752998352050781,0.765625,,,,,,,,,,,,,,,,,
19,1319,0.42028385400772095,0.8125,,,,,,,,,,,,,,,,,
19,1329,0.39533287286758423,0.796875,,,,,,,,,,,,,,,,,
19,1339,0.4573141038417816,0.75,,,,,,,,,,,,,,,,,
19,1349,0.5225539207458496,0.828125,,,,,,,,,,,,,,,,,
19,1359,0.3337419927120209,0.875,,,,,,,,,,,,,,,,,
19,1359,,,0.871372035068033,0.7918499652697384,0.789888682742162,0.5830241187384044,0.7905686546463245,0.7915120720863342,0.7931354359925789,0.7915120720863342,0.4483972191810608,,,,,,,,
20,1369,0.5160126686096191,0.75,,,,,,,,,,,,,,,,,
20,1379,0.4539080560207367,0.78125,,,,,,,,,,,,,,,,,
20,1389,0.5270745158195496,0.765625,,,,,,,,,,,,,,,,,
20,1399,0.5243944525718689,0.703125,,,,,,,,,,,,,,,,,
20,1409,0.356777161359787,0.84375,,,,,,,,,,,,,,,,,
20,1419,0.4883817136287689,0.75,,,,,,,,,,,,,,,,,
20,1427,,,0.8783229095314969,0.7919182535996284,0.7935992578812914,0.5844155844155844,0.7930232558139535,0.7922077775001526,0.7908163265306123,0.7922077775001526,0.43767133355140686,,,,,,,,
21,1429,0.40688788890838623,0.78125,,,,,,,,,,,,,,,,,
21,1439,0.4364076852798462,0.828125,,,,,,,,,,,,,,,,,
21,1449,0.3935657739639282,0.828125,,,,,,,,,,,,,,,,,
21,1459,0.45617467164993286,0.8125,,,,,,,,,,,,,,,,,
21,1469,0.34188327193260193,0.890625,,,,,,,,,,,,,,,,,
21,1479,0.3655936121940613,0.859375,,,,,,,,,,,,,,,,,
21,1489,0.40842559933662415,0.796875,,,,,,,,,,,,,,,,,
21,1495,,,0.8869081322864785,0.8044434158759547,0.8019480519443324,0.6080705009276438,0.8027713625866051,0.8040352463722229,0.8061224489795918,0.8040352463722229,0.42283159494400024,,,,,,,,
22,1499,0.6059310436248779,0.75,,,,,,,,,,,,,,,,,
22,1509,0.43592777848243713,0.75,,,,,,,,,,,,,,,,,
22,1519,0.4697062075138092,0.8125,,,,,,,,,,,,,,,,,
22,1529,0.3842647075653076,0.859375,,,,,,,,,,,,,,,,,
22,1539,0.4410231411457062,0.78125,,,,,,,,,,,,,,,,,
22,1549,0.47304651141166687,0.828125,,,,,,,,,,,,,,,,,
22,1559,0.4627918303012848,0.765625,,,,,,,,,,,,,,,,,
22,1563,,,0.8871960847924935,0.8025889967637541,0.7987012986975942,0.6038961038961039,0.8,0.801948070526123,0.8051948051948052,0.801948070526123,0.422078400850296,,,,,,,,
23,1569,0.4740791916847229,0.734375,,,,,,,,,,,,,,,,,
23,1579,0.5364726781845093,0.71875,,,,,,,,,,,,,,,,,
23,1589,0.45036637783050537,0.8125,,,,,,,,,,,,,,,,,
23,1599,0.31648096442222595,0.890625,,,,,,,,,,,,,,,,,
23,1609,0.5191065669059753,0.734375,,,,,,,,,,,,,,,,,
23,1619,0.36559200286865234,0.8125,,,,,,,,,,,,,,,,,
23,1629,0.36079052090644836,0.859375,,,,,,,,,,,,,,,,,
23,1631,,,0.8930008501967156,0.8136060675706734,0.8028756957291148,0.6238404452690167,0.806378132118451,0.8119202256202698,0.8209647495361782,0.8119202256202698,0.41137027740478516,,,,,,,,
24,1639,0.42326635122299194,0.796875,,,,,,,,,,,,,,,,,
24,1649,0.4211309254169464,0.859375,,,,,,,,,,,,,,,,,
24,1659,0.41505733132362366,0.8125,,,,,,,,,,,,,,,,,
24,1669,0.3535228967666626,0.8125,,,,,,,,,,,,,,,,,
24,1679,0.3947523236274719,0.8125,,,,,,,,,,,,,,,,,
24,1689,0.4631556272506714,0.859375,,,,,,,,,,,,,,,,,
24,1699,0.3046281039714813,0.9166666865348816,,,,,,,,,,,,,,,,,
24,1699,,,0.898506046034538,0.8212805158912944,0.8130797773617204,0.6400742115027829,0.8156450137236962,0.8200371265411377,0.8269944341372912,0.8200371265411377,0.4023344814777374,,,,,,,,
25,1709,0.42068880796432495,0.765625,,,,,,,,,,,,,,,,,
25,1719,0.3991393446922302,0.796875,,,,,,,,,,,,,,,,,
25,1729,0.49655404686927795,0.765625,,,,,,,,,,,,,,,,,
25,1739,0.4682336747646332,0.796875,,,,,,,,,,,,,,,,,
25,1749,0.2837142050266266,0.90625,,,,,,,,,,,,,,,,,
25,1759,0.47841712832450867,0.78125,,,,,,,,,,,,,,,,,
25,1767,,,0.904052762106698,0.8223955943093162,0.8098330241149823,0.6410018552875696,0.8138056312443234,0.820500910282135,0.8311688311688312,0.820500910282135,0.3922479748725891,,,,,,,,
26,1769,0.35659825801849365,0.859375,,,,,,,,,,,,,,,,,
26,1779,0.36352184414863586,0.875,,,,,,,,,,,,,,,,,
26,1789,0.3722483813762665,0.8125,,,,,,,,,,,,,,,,,
26,1799,0.4783191382884979,0.765625,,,,,,,,,,,,,,,,,
26,1809,0.3662116229534149,0.859375,,,,,,,,,,,,,,,,,
26,1819,0.3075786232948303,0.875,,,,,,,,,,,,,,,,,
26,1829,0.3827826976776123,0.84375,,,,,,,,,,,,,,,,,
26,1835,,,0.9060487451853738,0.8245815180004586,0.8112244897921558,0.6451762523191095,0.8154195011337868,0.8225881457328796,0.8339517625231911,0.8225881457328796,0.38818004727363586,,,,,,,,
27,1839,0.5360798239707947,0.78125,,,,,,,,,,,,,,,,,
27,1849,0.422865629196167,0.8125,,,,,,,,,,,,,,,,,
27,1859,0.4389377236366272,0.765625,,,,,,,,,,,,,,,,,
27,1869,0.35156065225601196,0.875,,,,,,,,,,,,,,,,,
27,1879,0.36977189779281616,0.796875,,,,,,,,,,,,,,,,,
27,1889,0.3638937175273895,0.875,,,,,,,,,,,,,,,,,
27,1899,0.3728005290031433,0.8125,,,,,,,,,,,,,,,,,
27,1903,,,0.9111281972731748,0.8310249307479224,0.825602968456282,0.660482374768089,0.8272058823529411,0.8302412033081055,0.8348794063079777,0.8302412033081055,0.37881430983543396,,,,,,,,
28,1909,0.4904036521911621,0.734375,,,,,,,,,,,,,,,,,
28,1919,0.45990636944770813,0.78125,,,,,,,,,,,,,,,,,
28,1929,0.3998842239379883,0.8125,,,,,,,,,,,,,,,,,
28,1939,0.28502553701400757,0.90625,,,,,,,,,,,,,,,,,
28,1949,0.41830697655677795,0.78125,,,,,,,,,,,,,,,,,
28,1959,0.2864689528942108,0.859375,,,,,,,,,,,,,,,,,
28,1969,0.3686215281486511,0.828125,,,,,,,,,,,,,,,,,
28,1971,,,0.9151932003194261,0.8393592677345538,0.8237476808867173,0.6743970315398886,0.8283649503161699,0.8371984958648682,0.8506493506493507,0.8371984958648682,0.36985471844673157,,,,,,,,
29,1979,0.36762702465057373,0.84375,,,,,,,,,,,,,,,,,
29,1989,0.3551042973995209,0.828125,,,,,,,,,,,,,,,,,
29,1999,0.3171258568763733,0.875,,,,,,,,,,,,,,,,,
29,2009,0.3014526069164276,0.84375,,,,,,,,,,,,,,,,,
29,2019,0.35352739691734314,0.828125,,,,,,,,,,,,,,,,,
29,2029,0.42162609100341797,0.8125,,,,,,,,,,,,,,,,,
29,2039,0.28877323865890503,0.875,,,,,,,,,,,,,,,,,
29,2039,,,0.9212937705019603,0.8414774030740996,0.8288497217030202,0.6794990723562152,0.8325011348161597,0.8397495150566101,0.8506493506493507,0.8397495150566101,0.357971727848053,,,,,,,,
30,2049,0.3627597391605377,0.8125,,,,,,,,,,,,,,,,,
30,2059,0.37714046239852905,0.8125,,,,,,,,,,,,,,,,,
30,2069,0.38658398389816284,0.78125,,,,,,,,,,,,,,,,,
30,2079,0.43215683102607727,0.78125,,,,,,,,,,,,,,,,,
30,2089,0.2654045820236206,0.875,,,,,,,,,,,,,,,,,
30,2099,0.41731593012809753,0.828125,,,,,,,,,,,,,,,,,
30,2107,,,0.9247689926029443,0.8504224708837634,0.8325602968421496,0.6961966604823748,0.8376068376068376,0.8480983376502991,0.8636363636363636,0.8480983376502991,0.34963637590408325,,,,,,,,
31,2109,0.37186408042907715,0.828125,,,,,,,,,,,,,,,,,
31,2119,0.3471721112728119,0.859375,,,,,,,,,,,,,,,,,
31,2129,0.3153569996356964,0.84375,,,,,,,,,,,,,,,,,
31,2139,0.4278337061405182,0.828125,,,,,,,,,,,,,,,,,
31,2149,0.3215826451778412,0.859375,,,,,,,,,,,,,,,,,
31,2159,0.26165327429771423,0.9375,,,,,,,,,,,,,,,,,
31,2169,0.34425652027130127,0.875,,,,,,,,,,,,,,,,,
31,2175,,,0.9275250326138212,0.8517075406830162,0.8381261595508436,0.6999072356215214,0.8418667874943362,0.8499535918235779,0.8617810760667903,0.8499535918235779,0.3435756266117096,,,,,,,,
32,2179,0.3927287459373474,0.828125,,,,,,,,,,,,,,,,,
32,2189,0.36207863688468933,0.8125,,,,,,,,,,,,,,,,,
32,2199,0.3848728835582733,0.828125,,,,,,,,,,,,,,,,,
32,2209,0.28409555554389954,0.875,,,,,,,,,,,,,,,,,
32,2219,0.30117151141166687,0.828125,,,,,,,,,,,,,,,,,
32,2229,0.36642226576805115,0.890625,,,,,,,,,,,,,,,,,
32,2239,0.26451846957206726,0.890625,,,,,,,,,,,,,,,,,
32,2243,,,0.9357162434040911,0.8587155963302753,0.8460111317214934,0.7142857142857143,0.8493647912885662,0.8571428656578064,0.8682745825602969,0.8571428656578064,0.32642650604248047,,,,,,,,
33,2249,0.4076484441757202,0.78125,,,,,,,,,,,,,,,,,
33,2259,0.39605194330215454,0.8125,,,,,,,,,,,,,,,,,
33,2269,0.35750100016593933,0.828125,,,,,,,,,,,,,,,,,
33,2279,0.21475611627101898,0.9375,,,,,,,,,,,,,,,,,
33,2289,0.40433478355407715,0.828125,,,,,,,,,,,,,,,,,
33,2299,0.22836817800998688,0.890625,,,,,,,,,,,,,,,,,
33,2309,0.25946152210235596,0.921875,,,,,,,,,,,,,,,,,
33,2311,,,0.9376703835523077,0.8654329449394562,0.8483302411834494,0.7268089053803339,0.8527690229626295,0.8634044528007507,0.87847866419295,0.8634044528007507,0.32075923681259155,,,,,,,,
34,2319,0.33759185671806335,0.875,,,,,,,,,,,,,,,,,
34,2329,0.3043527901172638,0.890625,,,,,,,,,,,,,,,,,
34,2339,0.2988038957118988,0.828125,,,,,,,,,,,,,,,,,
34,2349,0.299206018447876,0.875,,,,,,,,,,,,,,,,,
34,2359,0.28639525175094604,0.890625,,,,,,,,,,,,,,,,,
34,2369,0.3461633622646332,0.890625,,,,,,,,,,,,,,,,,
34,2379,0.20231886208057404,0.9166666865348816,,,,,,,,,,,,,,,,,
34,2379,,,0.940888631974969,0.8665755919854281,0.8455473098291023,0.7282003710575139,0.8510733452593918,0.8641001582145691,0.8826530612244898,0.8641001582145691,0.3138675391674042,,,,,,,,
35,2389,0.28785622119903564,0.90625,,,,,,,,,,,,,,,,,
35,2399,0.3234768807888031,0.859375,,,,,,,,,,,,,,,,,
35,2409,0.366473525762558,0.84375,,,,,,,,,,,,,,,,,
35,2419,0.3579494059085846,0.859375,,,,,,,,,,,,,,,,,
35,2429,0.25262248516082764,0.90625,,,,,,,,,,,,,,,,,
35,2439,0.37275397777557373,0.828125,,,,,,,,,,,,,,,,,
35,2447,,,0.9441844350322353,0.8717015468607825,0.8497217068606229,0.738404452690167,0.8553571428571428,0.869202196598053,0.8886827458256029,0.869202196598053,0.3051988482475281,,,,,,,,
36,2449,0.30012500286102295,0.890625,,,,,,,,,,,,,,,,,
36,2459,0.3045591115951538,0.921875,,,,,,,,,,,,,,,,,
36,2469,0.3044261634349823,0.84375,,,,,,,,,,,,,,,,,
36,2479,0.3691750168800354,0.84375,,,,,,,,,,,,,,,,,
36,2489,0.2683180570602417,0.890625,,,,,,,,,,,,,,,,,
36,2499,0.25956156849861145,0.859375,,,,,,,,,,,,,,,,,
36,2509,0.2859034240245819,0.875,,,,,,,,,,,,,,,,,
36,2515,,,0.9488758988162646,0.8795787545787546,0.8650278293095315,0.7560296846011132,0.8684448462929476,0.878014862537384,0.8910018552875696,0.878014862537384,0.29400181770324707,,,,,,,,
37,2519,0.38008418679237366,0.8125,,,,,,,,,,,,,,,,,
37,2529,0.3477846384048462,0.859375,,,,,,,,,,,,,,,,,
37,2539,0.4056744873523712,0.78125,,,,,,,,,,,,,,,,,
37,2549,0.3084103465080261,0.90625,,,,,,,,,,,,,,,,,
37,2559,0.26632556319236755,0.859375,,,,,,,,,,,,,,,,,
37,2569,0.3175979256629944,0.890625,,,,,,,,,,,,,,,,,
37,2579,0.23980486392974854,0.90625,,,,,,,,,,,,,,,,,
37,2583,,,0.9480816360951534,0.8783165599268069,0.8627087198475756,0.7532467532467533,0.8664259927797834,0.8766233921051025,0.8905380333951762,0.8766233921051025,0.29576534032821655,,,,,,,,
38,2589,0.35819458961486816,0.828125,,,,,,,,,,,,,,,,,
38,2599,0.3416997790336609,0.828125,,,,,,,,,,,,,,,,,
38,2609,0.310862272977829,0.8125,,,,,,,,,,,,,,,,,
38,2619,0.2019362598657608,0.921875,,,,,,,,,,,,,,,,,
38,2629,0.33344703912734985,0.859375,,,,,,,,,,,,,,,,,
38,2639,0.24619874358177185,0.890625,,,,,,,,,,,,,,,,,
38,2649,0.27036890387535095,0.921875,,,,,,,,,,,,,,,,,
